    1/tcp     tcpmux              TCP Port Service Multiplexer 
    2/tcp     compressnet         Management Utility 
    3/tcp     compressnet         Compression Process 
    5/tcp     rje                 Remote Job Entry 
    7/tcp     echo                Echo 
    9/tcp     discard             Discard 
   11/tcp     systat              Active Users 
   13/tcp     daytime             Daytime (RFC 867) 
   17/tcp     qotd                Quote of the Day 
   18/tcp     msp                 Message Send Protocol 
   19/tcp     chargen             Character Generator 
   20/tcp     ftp-data            File Transfer [Default Data] 
   21/tcp     ftp                 File Transfer [Control] 
   22/tcp     ssh                 SSH Remote Login Protocol 
   23/tcp     telnet              Telnet 
   24/tcp     any                 private mail system any private mail system 
   25/tcp     smtp                Simple Mail Transfer 
   27/tcp     nsw-fe              NSW User System FE 
   29/tcp     msg-icp             MSG ICP 
   31/tcp     msg-auth            MSG Authentication 
   33/tcp     dsp                 Display Support Protocol 
   35/tcp     any                 private printer server any private printer server 
   37/tcp     time                Time 
   38/tcp     rap                 Route Access Protocol 
   39/tcp     rlp                 Resource Location Protocol 
   41/tcp     graphics            Graphics 
   42/tcp     nameserver          Host Name Server 
   43/tcp     nicname             Who Is 
   44/tcp     mpm-flags           MPM FLAGS Protocol 
   45/tcp     mpm                 Message Processing Module [recv] 
   46/tcp     mpm-snd             MPM [default send] 
   47/tcp     ni-ftp              NI FTP 
   48/tcp     auditd              Digital Audit Daemon 
   49/tcp     tacacs              Login Host Protocol (TACACS) 
   50/tcp     re-mail-ck          Remote Mail Checking Protocol 
   51/tcp     la-maint            IMP Logical Address Maintenance 
   52/tcp     xns-time            XNS Time Protocol 
   53/tcp     domain              Domain Name Server 
   54/tcp     xns-ch              XNS Clearinghouse 
   55/tcp     isi-gl              ISI Graphics Language 
   56/tcp     xns-auth            XNS Authentication 
   57/tcp     any                 private terminal access any private terminal access 
   58/tcp     xns-mail            XNS Mail 
   59/tcp     any                 private file service any private file service 
   60/tcp     Unassigned          Unassigned 
   61/tcp     ni-mail             NI MAIL 
   62/tcp     acas                ACA Services 
   63/tcp     whois++             whois++ 
   64/tcp     covia               Communications Integrator (CI) 
   65/tcp     tacacs-ds           TACACS-Database Service 
   66/tcp     sql*net             Oracle SQL*NET 
   67/tcp     bootps              Bootstrap Protocol Server 
   68/tcp     bootpc              Bootstrap Protocol Client 
   69/tcp     tftp                Trivial File Transfer 
   70/tcp     gopher              Gopher 
   71/tcp     netrjs-1            Remote Job Service 
   72/tcp     netrjs-2            Remote Job Service 
   73/tcp     netrjs-3            Remote Job Service 
   74/tcp     netrjs-4            Remote Job Service 
   75/tcp     any                 private dial out service any private dial out service 
   76/tcp     deos                Distributed External Object Store 
   77/tcp     any                 private RJE service any private RJE service 
   78/tcp     vettcp              vettcp 
   79/tcp     finger              Finger 
   80/tcp     http-www            World Wide Web HTTP 
   81/tcp     hosts2-ns           HOSTS2 Name Server 
   82/tcp     xfer                XFER Utility 
   83/tcp     mit-ml-dev          MIT ML Device 
   84/tcp     ctf                 Common Trace Facility 
   85/tcp     mit-ml-dev          MIT ML Device 
   86/tcp     mfcobol             Micro Focus Cobol 
   87/tcp     any                 private terminal link any private terminal link 
   88/tcp     kerberos            Kerberos 
   89/tcp     su-mit-tg           SU/MIT Telnet Gateway 
   90/tcp     dnsix               DNSIX Securit Attribute Token Map 
   91/tcp     mit-dov             MIT Dover Spooler 
   92/tcp     npp                 Network Printing Protocol 
   93/tcp     dcp                 Device Control Protocol 
   94/tcp     objcall             Tivoli Object Dispatcher 
   95/tcp     supdup              SUPDUP 
   96/tcp     dixie               DIXIE Protocol Specification 
   97/tcp     swift-rvf           Swift Remote Virtural File Protocol 
   98/tcp     tacnews             TAC News 
   99/tcp     metagram            Metagram Relay 
  101/tcp     hostname            NIC Host Name Server 
  102/tcp     iso-tsap            ISO-TSAP Class 0 
  103/tcp     gppitnp             Genesis Point-to-Point Trans Net 
  104/tcp     acr-nema            ACR-NEMA Digital Imag. & Comm. 300 
  105/tcp     cso                 CCSO name server protocol 
  105/tcp     csnet-ns            Mailbox Name Nameserver 
  106/tcp     3com-tsmux          3COM-TSMUX 
  107/tcp     rtelnet             Remote Telnet Service 
  108/tcp     snagas              SNA Gateway Access Server 
  109/tcp     pop2                Post Office Protocol - Version 2 
  110/tcp     pop3                Post Office Protocol - Version 3 
  111/tcp     sunrpc              SUN Remote Procedure Call 
  112/tcp     mcidas              McIDAS Data Transmission Protocol 
  113/tcp     ident               
  114/tcp     audionews           Audio News Multicast 
  115/tcp     sftp                Simple File Transfer Protocol 
  116/tcp     ansanotify          ANSA REX Notify 
  117/tcp     uucp-path           UUCP Path Service 
  118/tcp     sqlserv             SQL Services 
  119/tcp     nntp                Network News Transfer Protocol 
  120/tcp     cfdptkt             CFDPTKT 
  121/tcp     erpc                Encore Expedited Remote Pro.Call 
  122/tcp     smakynet            SMAKYNET 
  123/tcp     ntp                 Network Time Protocol 
  124/tcp     ansatrader          ANSA REX Trader 
  125/tcp     locus-map           Locus PC-Interface Net Map Ser 
  126/tcp     unitary             Unisys Unitary Login 
  127/tcp     locus-con           Locus PC-Interface Conn Server 
  128/tcp     gss-xlicen          GSS X License Verification 
  129/tcp     pwdgen              Password Generator Protocol 
  130/tcp     cisco-fna           cisco FNATIVE 
  131/tcp     cisco-tna           cisco TNATIVE 
  132/tcp     cisco-sys           cisco SYSMAINT 
  133/tcp     statsrv             Statistics Service 
  134/tcp     ingres-net          INGRES-NET Service 
  135/tcp     epmap               DCE endpoint resolution 
  136/tcp     profile             PROFILE Naming System 
  137/tcp     netbios-ns          NETBIOS Name Service 
  138/tcp     netbios-dgm         NETBIOS Datagram Service 
  139/tcp     netbios-ssn         NETBIOS Session Service 
  140/tcp     emfis-data          EMFIS Data Service 
  141/tcp     emfis-cntl          EMFIS Control Service 
  142/tcp     bl-idm              Britton-Lee IDM 
  143/tcp     imap                Internet Message Access Protocol 
  144/tcp     uma                 Universal Management Architecture 
  145/tcp     uaac                UAAC Protocol 
  146/tcp     iso-tp0             ISO-IP0 
  147/tcp     iso-ip              ISO-IP 
  148/tcp     jargon              Jargon 
  149/tcp     aed-512             AED 512 Emulation Service 
  150/tcp     sql-net             SQL-NET 
  151/tcp     hems                HEMS 
  152/tcp     bftp                Background File Transfer Program 
  153/tcp     sgmp                SGMP 
